================ DATA SUMMARY ================
Attack_Category
1    1047296
0    1047296
Name: count, dtype: int64

============== CLIENT DISTRIBUTION ==============
Client 0: total=279280 | benign=209460 | attack=69820 | train=195496 | val=27928 | test=55856
Client 1: total=279278 | benign=69819 | attack=209459 | train=195494 | val=27928 | test=55856
Client 2: total=279278 | benign=209459 | attack=69819 | train=195494 | val=27928 | test=55856
Client 3: total=279278 | benign=69819 | attack=209459 | train=195494 | val=27928 | test=55856
Client 4: total=279278 | benign=209459 | attack=69819 | train=195494 | val=27928 | test=55856
=================================================

================ MODEL PROFILE ================
Parameters           : 4673
Model Size           : 18.25 KB
Forward FLOPs/sample : 5185
Training FLOPs/sample: 15555
================================================

============== FEDERATED TRAINING ==============
Clients=5 | Rounds=45 | Local Epochs=5 | Batch Size=32
================================================

================ FINAL RESULTS ================
Final Accuracy       : 0.9359
Final Precision      : 0.9824
Final Recall         : 0.8672
Final F1-score       : 0.9212
Final AUC-ROC        : 0.9782
Final Train Loss     : 0.1435
Final Validation Loss: 0.1401
Client Train Time(sum): 2015.1493 s
Round Train Time(sum of max/client-round): 408.9271 s
Final Inference Time(total over all test clients): 0.014174 s
Avg Inference Time/sample: 0.000051 ms
Training Communication : 8.02 MB
Final Eval Communication: 91.27 KB
Total Communication    : 8.11 MB
Total Runtime          : 500.43 s
================================================

==========  CONFUSION MATRIX ==========
TN: 152359    FP: 1245
FN: 16657    TP: 109019
=======================================================

Round-wise Results (copy into thesis table):
Round   TrainLoss       ValLoss RoundTrainTime(sum)     Comm
1       0.1655  0.1620  45.6534 186920
2       0.1627  0.1596  44.8324 186920
3       0.1610  0.1583  44.5270 186920
4       0.1597  0.1572  45.1474 186920
5       0.1585  0.1556  44.6528 186920
6       0.1578  0.1559  44.6998 186920
7       0.1570  0.1544  44.6697 186920
8       0.1563  0.1535  44.9255 186920
9       0.1553  0.1526  44.9590 186920
10      0.1544  0.1521  44.6246 186920
11      0.1529  0.1500  44.1826 186920
12      0.1509  0.1472  44.5731 186920
13      0.1496  0.1461  44.7243 186920
14      0.1485  0.1448  44.7733 186920
15      0.1479  0.1449  44.9911 186920
16      0.1475  0.1443  44.7300 186920
17      0.1474  0.1433  44.6846 186920
18      0.1469  0.1432  44.9069 186920
19      0.1467  0.1419  44.7537 186920
20      0.1466  0.1415  45.3012 186920
21      0.1465  0.1430  44.6522 186920
22      0.1458  0.1416  44.7087 186920
23      0.1459  0.1415  44.6222 186920
24      0.1456  0.1415  44.4262 186920
25      0.1454  0.1407  44.5678 186920
26      0.1456  0.1410  45.2946 186920
27      0.1455  0.1406  44.7719 186920
28      0.1450  0.1409  44.7206 186920
29      0.1448  0.1405  44.9290 186920
30      0.1449  0.1406  44.7191 186920
31      0.1447  0.1394  44.7665 186920
32      0.1444  0.1407  45.0515 186920
33      0.1444  0.1403  44.7929 186920
34      0.1443  0.1395  44.8506 186920
35      0.1443  0.1402  44.3816 186920
36      0.1442  0.1393  44.6395 186920
37      0.1443  0.1396  44.9168 186920
38      0.1442  0.1397  44.7336 186920
39      0.1440  0.1403  44.7241 186920
40      0.1439  0.1406  44.9722 186920
41      0.1438  0.1392  44.7650 186920
42      0.1437  0.1394  44.7483 186920
43      0.1439  0.1397  44.8224 186920
44      0.1435  0.1392  44.4916 186920
45      0.1435  0.1401  44.7677 186920
